17-2-6 下午1:06
项目统计

     	  片段	   词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	5185	79901	 500595	 577343	   103	
剩余：  	3952	54653	 355095	 405309	   100	
独特：  	4846	78812	 494127	 569894	   103	
剩余独特：	3663	53853	 350163	 399679	   100	


单文件统计：

文件名                                                                                     	总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
generals/Essentials/A_Babylon.js_Primer.md                                              	143	  13	 141	    11	5900	  33	5896	    29	   30669	      422	    30613	        366	   36032	      426	    35976	        370	
generals/Essentials/The_Playground_Tutorial.md                                          	 56	   6	  56	     6	1799	  24	1799	    24	    9427	      242	     9427	        242	   11059	      242	    11059	        242	
generals/General/playgrounds.md                                                         	  9	   0	   9	     0	 230	   0	 230	     0	    2006	        0	     2006	          0	    2209	        0	     2209	          0	
generals/General/Approved_Naming_Conventions.md                                         	  6	   0	   6	     0	 137	   0	 137	     0	     874	        0	      874	          0	     992	        0	      992	          0	
generals/General/Creating_the_Mini-fied_Version.md                                      	 19	  13	  19	    13	1171	1056	1171	  1056	   11508	    10878	    11508	      10878	   12411	    11681	    12411	      11681	
generals/General/Framework_versions.md                                                  	 20	   2	  19	     2	 238	  66	 232	    66	    2512	     1615	     2480	       1615	    2721	     1671	     2684	       1671	
generals/General/File_Format_Map_(.babylon).md                                          	 59	   0	  56	     0	2892	   0	2867	     0	   20243	        0	    20037	          0	   26519	        0	    26282	          0	
generals/General/setup_visualStudio.md                                                  	113	  46	  99	    32	1098	 147	1098	   147	    6286	     1524	     6244	       1482	    7145	     1531	     7103	       1489	
generals/Essentials/Roadmap.md                                                          	  4	   2	   4	     2	  37	  21	  37	    21	     266	      165	      266	        165	     304	      190	      304	        190	
generals/General/Roadmap.md                                                             	  5	   3	   3	     2	  42	   6	  30	     5	     300	       59	      235	         47	     338	       62	      263	         50	
tutorials/01_Play_Pen/Creating_a_Basic_Scene.md                                         	185	  99	 126	    62	1258	 382	1027	   283	    7609	     2955	     5993	       2083	    8687	     3216	     6876	       2273	
tutorials/01_Play_Pen/Discover_Basic_Elements.md                                        	168	  18	 165	    17	2300	 100	2271	    99	   13745	      888	    13592	        875	   15859	      973	    15680	        960	
tutorials/01_Play_Pen/Materials.md                                                      	 76	   8	  75	     8	1164	  92	1159	    92	    7333	      713	     7317	        713	    8338	      797	     8316	        797	
tutorials/01_Play_Pen/Cameras.md                                                        	152	 105	 152	   105	2711	1841	2711	  1841	   16564	    11695	    16564	      11695	   19067	    13378	    19067	      13378	
tutorials/01_Play_Pen/Lights.md                                                         	102	 101	 101	   101	1687	1682	1682	  1682	    9199	     9183	     9183	       9183	   10627	    10605	    10605	      10605	
tutorials/01_Play_Pen/Animations.md                                                     	148	  41	 142	    35	1595	 149	1591	   145	   11151	     1877	    11109	       1835	   12583	     1974	    12540	       1931	
tutorials/01_Play_Pen/Sprites.md                                                        	 48	   5	  46	     5	 684	  40	 677	    40	    3703	      323	     3674	        323	    4294	      330	     4258	        330	
tutorials/01_Play_Pen/Cameras,_Mesh_Collisions_and_Gravity.md                           	 53	   8	  51	     8	 720	  56	 713	    56	    4807	      785	     4778	        785	    5432	      817	     5396	        817	
tutorials/01_Play_Pen/Intersect_Collisions_-_mesh.md                                    	 35	   6	  33	     6	 531	  47	 524	    47	    2943	      391	     2914	        391	    3390	      423	     3354	        423	
tutorials/01_Play_Pen/Picking_Collisions.md                                             	 48	  13	  44	    11	 564	  42	 555	    40	    3088	      279	     3055	        275	    3595	      312	     3555	        308	
tutorials/01_Play_Pen/Particles.md                                                      	141	  45	 132	    38	1525	 182	1510	   182	   10167	     2164	    10090	       2155	   11464	     2293	    11372	       2284	
tutorials/01_Play_Pen/Environment.md                                                    	 60	   3	  59	     3	 981	  10	 980	    10	    6384	      135	     6379	        135	    7223	      141	     7218	        141	
tutorials/01_Play_Pen/Height_Map.md                                                     	 46	   6	  44	     6	 585	  34	 578	    34	    3559	      403	     3530	        403	    4123	      444	     4087	        444	
